KVA,Load_percent,Ia,Ib,Ic,In,UB_percent,Min_V,Max_dis,Load_peak,Ia_PEAK,Ib_PEAK,Ic_PEAK,UB_PEAK_percent,Min_V_peak,Copper_Loss,Core_Loss,Line_Loss,Copper_Loss_PEAK,Core_Loss_PEAK,Line_Loss_PEAK
250,19.61,99.76,64.84,47.89,45.37,40.84427502,221.84,427.55,19.61,99.76,64.84,47.89,40.84427502,221.84,63,259,418,63,259,418
100,63.11,114.55,86.53,72.44,36.7,25.63980696,212.08,838.76,71.35,127.54,104.68,77.09,25.23035143,211.19,350,130,1228,450,134,1611
50,79.85,141.92,12.69,10.27,130.24,158.224163,227.89,783.69,79.85,141.92,12.69,10.27,158.224163,227.89,323,79,810,323,79,810
100,21.97,44.05,36.16,14.97,25.87,52.81571759,224.05,1045.71,31.89,60.26,53.09,24.79,46.16331258,223.01,42,130,147,88,134,332
100,26.16,59.38,21.92,32.02,33.52,57.20084716,224.09,693.79,34.73,72.34,33.76,44.37,44.22808533,222.42,73,130,201,134,134,407
100,31.71,94.84,30.68,11.9,75.27,107.0440984,207.87,574.26,31.71,94.84,30.68,11.9,107.0440984,207.87,73,130,711,73,130,711
100,39.7,57.49,53.33,61.19,6.7,6.987965816,221.68,689.44,48.8,71.69,61.12,78.67,13.29676565,213.2,164,130,491,285,130,1029
100,13.37,12.13,15.21,27.8,14.36,51.25136017,238.39,532.57,15.02,15.69,14.64,31.61,53.09977397,238.09,17,130,51,20,130,60
100,23.89,33.61,30.56,34.4,3.51,6.989956376,235.79,770.85,23.98,32.46,34.54,31.91,4.761904762,234.53,55,130,138,58,130,148
100,41.72,114.15,48.18,18.49,84.57,89.38723593,222.48,426.77,41.72,114.15,48.18,18.49,89.38723593,222.48,143,130,385,143,130,385
100,47.43,80.14,62.39,62.98,17.45,16.98700793,209.52,986.58,60.3,101.78,80.37,79.19,16.8363052,202.8,207,130,2147,332,134,3623
100,20.15,73.26,4.95,4.94,68.3,164.3174985,224.6,970,21.62,79.64,4.79,4.79,167.7874916,221.53,38,130,333,44,130,419
100,52.16,102.34,62.65,61.07,40.06,35.81350084,220.8,727.78,58.22,114.26,69.27,68.81,35.84053261,219.4,197,130,649,246,134,823
160,46.27,123.11,111.62,86.21,32.08,19.4148439,223.33,699.77,46.27,123.11,111.62,86.21,19.4148439,223.33,283,187,476,283,187,476
160,11.72,42.29,28.01,10.91,27.1,59.69708164,228.64,263.5,11.97,40.56,31.64,10.79,60.99530064,228.37,14,187,36,15,187,38
50,44.95,45.89,40.72,10.75,32.67,66.87551356,222.15,770.59,54.69,56.31,50.72,11.44,71.03064067,220.85,102,79,232,158,79,355
50,45.11,49.63,24.56,23.52,25.42,52.37949033,217.42,948.34,52.99,63.3,25.17,26.31,65.44694198,212.59,111,79,283,160,79,462
50,11.04,23.04,0.43,0.43,22.6,189.2050209,224.02,913.54,11.04,23.04,0.43,0.43,189.2050209,224.02,7,79,73,7,79,73
50,18.58,34.89,1.71,1.72,33.16,173.1471816,217.13,1180.36,21.33,39.41,2.29,2.3,168.7045455,215.16,18,79,345,24,82,425
100,27.43,64.7,26.44,27.7,37.36,63.32884551,218.78,793.82,38.86,79.56,42.63,46.19,41.75080176,217.82,65,130,378,148,134,665
100,15.33,17.78,26.87,21.75,7.84,21.40060241,224.84,706.45,23.03,32.43,35.83,31.51,7.737796933,222.47,21,130,87,54,134,200
100,47.28,134.67,41.51,28.77,99.47,97.12612832,206.56,928.11,50.92,136.16,50.71,33.84,85.07543836,206.37,184,130,1339,217,134,1563
160,29.25,70.4,54.16,78.21,21.24,19.86980323,225.44,767.58,29.25,70.4,54.16,78.21,19.86980323,225.44,113,187,370,113,187,370
160,13.41,42.97,31.47,18.53,21.08,40.20651823,227.81,542.92,15.54,48.21,39.3,20.22,43.69256475,227.48,21,187,53,29,193,73
160,13.45,31.67,33.36,28.21,4.52,9.234234234,225.99,717.38,30.64,71.93,74.1,66.42,6.208519652,220.57,22,187,148,137,193,787
160,48.36,172.02,74.32,89.19,89.86,53.80442881,207.81,493.67,52.41,183.89,82.41,97.33,51.71190496,205.16,249,187,1574,294,193,2006
100,7.08,15.6,10.66,4.41,9.7,56.86338441,227.52,541.36,8.88,19.77,11.74,6.93,54.29240375,227.14,4,130,26,6,134,40
100,54.52,103.36,76.78,56.13,40.55,31.23968341,219.99,674.69,56.21,110.52,75.92,57.17,36.10278724,220.6,311,130,550,333,134,595
100,3.69,7.65,2.72,4.85,4.28,50.78843627,241.2,364.51,3.97,7.91,3.43,5.05,44.78340451,241.03,1,130,8,2,130,9
100,18.56,30.5,24.69,25.19,5.61,13.83428714,226.48,759.2,20.14,31.39,28.17,27.69,7.931232092,225.73,29,130,89,34,134,110
100,28.2,42.87,51.54,27.76,20.56,31.83269215,219.65,868.04,36.21,55.11,65.36,36.41,30.37353391,217.23,70,130,316,116,134,523
100,29.77,56.91,28.85,43.22,24.04,32.89657311,216.87,1135.18,31.13,61.19,30.64,43.02,36.12903226,219.77,75,130,370,81,134,332
100,21.54,36.54,23.44,33.33,11.57,24.63830243,222.64,891.74,32.27,55.11,38.44,46.27,18.24488628,218.35,39,130,210,95,130,534
100,47.19,60.16,55.49,88.85,30.59,30.34229829,216.78,763.58,47.87,62.18,54.06,91.18,31.8773503,215.46,237,130,663,246,130,679
100,33.85,56.57,47.71,42.39,12.37,15.70873389,224.51,196.54,35.97,56.86,51.25,47.73,9.458418891,224.94,133,130,463,132,134,501
100,30.98,63.14,42.42,28.65,29.99,41.13702407,224.47,498.85,34.7,71.59,48.27,30.47,42.86569547,224.39,102,130,216,129,134,241
100,31.85,64.63,47.26,26.09,32.96,43.27438759,218.97,906.55,31.85,64.63,47.26,26.09,43.27438759,218.97,84,130,497,84,130,497
100,41.57,89.82,44.95,45.35,44.53,49.60026649,217.52,815.35,42.92,94.18,41.77,50.05,51.90322581,216.78,160,130,472,165,134,475
100,22.11,31.86,39.43,24.49,12.85,23.5017749,224.15,533.55,26.55,37.38,43.6,34.01,13.74902165,223.77,37,130,143,58,134,265
100,29.61,57.79,31.3,39.17,23.29,35.17074692,218.85,830.97,30.31,54.59,32.02,44.71,26.85044167,219.29,76,130,421,83,130,434
100,34.29,67.03,56.37,25.18,37.44,49.15870238,210.2,1012.65,37.91,73.58,61.78,28.9,47.2178254,208.92,109,130,618,134,134,745
100,31.43,64.5,30.99,40.67,29.61,42.11222092,211.58,750.57,38.43,79.3,42.4,44.81,42.87430184,208,84,130,572,131,130,860
160,27.71,72.71,57.84,52.43,17.99,19.2097497,233.67,819.8,29,74.05,62.75,54.72,15.99310777,234.46,89,187,420,97,193,449
160,21.19,60.49,43.13,43.28,17.19,23.53301566,208.92,1084.04,27.26,78.41,55.57,55.03,24.45373261,202.82,64,187,793,114,193,1238
100,52.02,125.96,45.59,53.91,75.56,67.60400958,213.18,776.55,56.41,139.73,49.63,55.15,71.44084087,211.31,241,130,648,290,134,786
160,5.47,12.3,15,10.61,3.82,18.7021894,229.29,523.45,11.33,25.96,27.02,25.54,3.234844626,227.62,4,187,33,20,187,129
160,51.59,184.06,95.52,78.35,96.99,54.27038806,205.59,853.33,56.39,199.21,107.61,84.47,52.73326689,200.71,333,187,2262,406,187,3093
160,30.7,99.4,81.29,32.19,59.46,54.63641488,218.5,739.42,36.86,113.01,97.56,45.05,47.12855019,216.53,107,187,696,159,187,1013
160,42.32,97.06,102.75,93.72,7.3,5.01481961,205.58,1117.46,58.59,136.63,135.18,134.69,0.833948339,201.74,238,187,2473,449,193,4588
160,42.95,154.18,89.61,39.96,98.25,63.00969163,223.84,598.15,43.53,156.61,90.07,40.93,63.35662877,225.32,214,187,897,218,193,850
250,13.6,70.23,53.89,23.22,41.2,52.72159631,229.29,215.83,14.31,71.79,57.67,25.49,50.64859632,229.42,23,259,35,25,259,37
100,31.58,40.61,60.82,35.38,22.95,33.3674439,219.19,903.07,34.01,43.77,67.2,36.39,36.80781759,218.09,97,130,232,111,134,284
160,21.97,54.07,56.69,41.51,14,18.21763972,217.14,984.02,21.97,54.07,56.69,41.51,18.21763972,217.14,54,187,439,54,187,439
160,40.51,108.89,98.73,73.35,31.37,21.68203011,220.01,489.94,41.3,111.7,102.01,72.71,23.84260876,221.3,225,187,639,232,193,651
160,33.64,93.25,73.69,66.34,24.14,19.92026749,216.09,1170.91,52.2,144.68,113.93,103.51,19.86081962,208.61,140,187,815,360,187,2162
160,17.46,42.41,40.08,38.51,3.4,5.148760331,229.69,170.82,19.31,47.44,43.34,43.07,6.327979081,229.63,50,187,61,63,193,74
160,18.82,49.02,56.22,25.23,28.03,41.9866636,228.38,177.35,24.31,59.22,65.99,43.29,22.92581602,228.09,42,187,75,77,193,137
250,28.61,129.45,73.71,106.94,47.9,28.69074492,218.58,973.04,30.9,140.3,80.37,114.23,28.00537474,214.78,147,259,415,175,268,527
100,29.89,46.95,51.11,31.42,17.12,27.20111214,219.45,962.67,35.82,64.8,53.72,36.67,29.11270056,220.81,68,130,371,108,134,483
100,40.8,61.55,44.69,70.54,22.59,24.15997285,216.11,1095.98,51.79,77.56,58.12,88.75,22.30985162,210.49,154,130,716,267,130,1179
160,6.22,26.35,7.25,9.47,18.01,83.53842582,226.06,517.26,6.39,26.38,7.69,10.19,78.80704925,226.56,4,187,53,4,193,50
160,62.74,201.24,148.03,86.13,96.4,40.65457051,203.51,688.73,67.82,221.99,157.02,91.7,41.55637229,202.48,486,187,2652,564,193,3075
160,18.35,34.58,47.25,39.29,10.96,17.03269485,232.3,566.77,18.35,34.58,47.25,39.29,17.03269485,232.3,56,187,230,56,187,230
50,32.97,61.75,3.15,3.12,58.61,172.3463687,236.02,439.81,32.97,61.75,3.15,3.12,172.3463687,236.02,63,79,126,63,79,126
50,37.86,38.78,19.01,20.3,19.02,48.98194391,229.82,729.86,39.03,42.11,19.11,19.29,56.91218482,229.04,85,79,225,102,82,262
50,19.76,15.23,19.32,8.24,9.64,42.22949287,226.72,750.8,22.45,16.79,23.19,8.63,46.73935404,225.69,21,79,66,29,79,90
50,13.62,6.61,15.46,7.43,8.46,57.22033898,229.89,142.21,14.92,7.51,16.51,8.28,53.34365325,229.79,12,79,10,15,79,12
50,29.18,22.49,9.16,28.53,17.16,54.33698903,240.54,949.37,29.18,22.49,9.16,28.53,54.33698903,240.54,56,79,38,56,79,38
50,19.46,20.8,5.68,15.66,13.28,59.56336023,227.36,710.54,20.06,21.15,5.87,16.43,59.47065593,227.32,20,79,46,22,82,50
50,9.59,10.84,1.77,8.15,8.05,74.42196532,229.89,220.44,21.87,20.15,6.36,20.85,59.71283784,229.23,5,79,7,30,82,32
50,47.31,40.12,37.88,24.47,14.73,28.35951986,221.82,1092.67,60.23,44.02,59.5,26.95,38.03173143,217.84,127,79,261,214,82,495
50,12.28,21.62,1.85,1.86,19.76,156.0600079,240.79,968.71,16.24,24.9,4.29,4.3,123.0516572,240.39,8,79,10,16,79,19
50,17.43,29.95,3,3,26.94,149.930459,235.1,672.71,47.01,74.66,11.17,11.17,130.9072165,222.8,17,79,70,138,79,499
50,11.33,18.15,2.61,2.61,15.54,132.9910141,240.64,379.33,15.66,23.22,4.54,4.54,115.6656347,240.51,7,79,11,14,79,18
50,42.04,40.6,29.45,20.99,16.9,33.78734622,218.35,857.4,53.21,51.08,37.27,26.9,32.96312364,215.27,85,79,243,138,82,388
100,19.34,36.1,23.97,23.69,12.24,29.29799427,227.22,533.39,20.89,40.94,26.51,23.03,35.74270557,227.55,31,130,79,37,130,92
100,20.85,33.58,33.35,23.39,9.94,22.30956599,222.3,728.63,23.07,36.89,34.24,28.8,13.53947763,223.46,31,130,213,40,134,230
100,20.64,26.22,43.33,19.85,20.87,45.40268456,221.7,814.12,27.7,36.37,58.98,24.67,47.4254291,216.09,38,130,218,76,134,466
50,44.26,27.17,27.45,41.24,13.84,29.06321719,216.17,1064.24,62.38,41.56,39.54,54.03,19.95115814,214.65,116,79,275,243,79,480
50,29.77,27.74,20.86,15.87,10.26,29.08329456,219.71,946.4,38.45,33.35,30.24,19.67,29.12563055,217.91,51,79,198,89,79,328
50,17.98,12.4,14.74,11.8,2.66,13.55932203,226.47,681.61,29.28,21.08,23.39,18.94,10.66077906,223.99,18,79,57,51,79,160
50,16.88,15.37,17.29,3.9,12.52,67.99781182,228.99,341.42,17.82,14.86,19.86,3.87,69.91448562,228.72,15,79,22,16,82,25
50,21.76,40.98,1.97,1.93,38.96,173.9304813,219.14,755.01,29.92,57.54,2.12,2.07,179.6371294,210.22,26,79,440,52,79,844
50,24.72,24.52,20.52,8.49,14.38,52.41920418,228.35,477.42,26.43,26.03,21.17,10.04,47.37945493,228.59,25,79,25,27,79,25
100,49.11,66.44,87.71,58.67,25.9,23.63969552,224.46,433.97,48.13,66.45,87.71,54.42,26.15303481,224.41,208,130,342,199,130,340
160,10.63,30.27,27.24,16.13,12.88,34.2884302,229.81,269.69,10.86,28.78,29.15,17.34,30.88880032,229.93,15,187,22,15,193,22
160,6.26,20.26,16.37,6.73,12.06,53.43634686,229.15,568.48,6.26,20.26,16.37,6.73,53.43634686,229.15,4,187,15,4,187,15
160,25.57,110.94,37.95,28.41,78.02,87.71573604,220.22,851.18,30.72,119.91,50.63,42.45,68.8952533,220.31,84,187,434,123,187,608
160,8.36,25.82,15.36,16.78,9.77,33.64389234,228.52,257.69,8.36,25.82,15.36,16.78,33.64389234,228.52,8,187,37,8,187,37
160,28.29,75.27,92.18,28.7,56.18,56.10502167,221.05,440.55,28.25,75.64,91.44,28.78,55.91749209,221.41,112,187,373,114,193,366
50,21.97,23.42,13.09,11.06,11.47,47.69812907,227.34,493.07,33.52,36.04,18.64,17.92,48.92561983,224.52,23,79,44,59,82,101
100,25.1,77.38,16.97,9.21,64.47,124.1599073,229.09,982.43,38.4,120.81,25.8,11.9,128.6480348,219.89,55,130,324,139,134,889
100,4.91,9.59,5.51,6.17,3.78,35.26093089,228.16,455.89,6.71,12.51,7.99,8.56,29.14659326,227.56,2,130,14,4,134,24
100,8.33,11.85,8.41,14.1,4.95,26.57159488,239.79,246.28,16.17,22.38,19.65,24.67,11.6191904,238.12,9,130,43,33,134,164
160,16.51,36.11,46.97,31.33,13.92,23.16231099,223.81,1136.48,18.84,42.13,55.04,33.41,26.45121764,223.15,38,187,266,49,193,312
160,34.25,110.84,69.56,57.13,48.52,39.99073801,223.15,585.23,36.48,112.58,82.97,57.44,33.4993478,217.57,140,187,504,164,187,658
